trial,value,params,block_scores,drops,recover_limit_ends,mount_t,final_scores
120,-6.0,"{""MOUNT_SPEED"": 680, ""IR_TRIGGER"": 0.2409188103816169, ""FALL_THRESHOLD"": 250, ""EDGE_THRESHOLD"": 730, ""RECOVER_LIMIT"": 5}",0,6,0,"[41.0, 41.0, 41.0, 41.0]","[[1.0, 3.0], [0.0, 4.0], [1.0, 3.0], [0.0, 6.0]]"
121,0.0,"{""MOUNT_SPEED"": 720, ""IR_TRIGGER"": 0.2891462824848645, ""FALL_THRESHOLD"": 295, ""EDGE_THRESHOLD"": 720, ""RECOVER_LIMIT"": 5}",0,0,0,"[42.0, 42.0, 42.0, 42.0]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]"
122,-24.0,"{""MOUNT_SPEED"": 700, ""IR_TRIGGER"": 0.24560984412856565, ""FALL_THRESHOLD"": 265, ""EDGE_THRESHOLD"": 680, ""RECOVER_LIMIT"": 5}",3,27,0,"[47.0, 47.0, 47.0, 47.0]","[[4.0, 0.0], [3.0, 8.0], [3.0, 8.0], [0.0, 2.0]]"
123,-8.0,"{""MOUNT_SPEED"": 730, ""IR_TRIGGER"": 0.20164067579525102, ""FALL_THRESHOLD"": 295, ""EDGE_THRESHOLD"": 740, ""RECOVER_LIMIT"": 5}",0,8,0,"[36.0, 36.0, 36.0, 36.0]","[[1.0, 4.0], [1.0, 4.0], [1.0, 4.0], [1.0, 4.0]]"
124,-8.0,"{""MOUNT_SPEED"": 730, ""IR_TRIGGER"": 0.18158809548912352, ""FALL_THRESHOLD"": 260, ""EDGE_THRESHOLD"": 770, ""RECOVER_LIMIT"": 4}",0,8,0,"[36.0, 36.0, 36.0, 36.0]","[[1.0, 4.0], [1.0, 4.0], [1.0, 4.0], [1.0, 4.0]]"
125,4.0,"{""MOUNT_SPEED"": 710, ""IR_TRIGGER"": 0.2824978063972247, ""FALL_THRESHOLD"": 260, ""EDGE_THRESHOLD"": 760, ""RECOVER_LIMIT"": 3}",4,0,0,"[43.0, 43.0, 43.0, 43.0]","[[6.0, 3.0], [8.0, 3.0], [6.0, 3.0], [5.0, 3.0]]"
126,4.0,"{""MOUNT_SPEED"": 710, ""IR_TRIGGER"": 0.18036095244183356, ""FALL_THRESHOLD"": 290, ""EDGE_THRESHOLD"": 780, ""RECOVER_LIMIT"": 5}",4,0,0,"[43.0, 43.0, 43.0, 43.0]","[[6.0, 3.0], [8.0, 3.0], [6.0, 3.0], [5.0, 3.0]]"
127,-39.0,"{""MOUNT_SPEED"": 660, ""IR_TRIGGER"": 0.1919109606758993, ""FALL_THRESHOLD"": 310, ""EDGE_THRESHOLD"": 780, ""RECOVER_LIMIT"": 5}",0,39,0,"[46.0, 46.0, 46.0, 46.0]","[[6.0, 6.0], [1.0, 8.0], [1.0, 0.0], [0.0, 9.0]]"
128,4.0,"{""MOUNT_SPEED"": 710, ""IR_TRIGGER"": 0.22733004892563216, ""FALL_THRESHOLD"": 265, ""EDGE_THRESHOLD"": 730, ""RECOVER_LIMIT"": 4}",4,0,0,"[43.0, 43.0, 43.0, 43.0]","[[6.0, 3.0], [8.0, 3.0], [6.0, 3.0], [5.0, 3.0]]"
129,-8.0,"{""MOUNT_SPEED"": 730, ""IR_TRIGGER"": 0.2136210839658832, ""FALL_THRESHOLD"": 275, ""EDGE_THRESHOLD"": 660, ""RECOVER_LIMIT"": 4}",0,8,0,"[36.0, 36.0, 36.0, 36.0]","[[1.0, 4.0], [1.0, 4.0], [1.0, 4.0], [1.0, 4.0]]"
