#{"t_start": 1790417062.4237332, "env_id": "None"}
r,l,t,seed,entry_tick,policy_ticks,target_index,us_block_scores,us_block_score_events,them_block_score_events,target_block_offs,unowned_block_offs,us_drops,attribution_ambiguous,done_reason,faults,score_us,score_them
-0.226985,2219,108.82012,1187,181,2219,0,0,0,0,0,0,0,False,比赛时间结束(手动模式),0,0,0
-0.184872,2237,111.750984,1188,163,2237,0,0,0,0,0,0,0,False,比赛时间结束(手动模式),0,12,0
1.04475,202,112.086222,1189,165,202,0,1,1,0,0,0,0,False,,0,3,0
-1.051792,1188,115.200846,1190,189,1188,0,0,0,0,0,0,1,False,,0,5,4
-1.086853,1309,116.576892,1191,157,1309,0,0,0,0,0,1,1,False,,0,8,0
-1.0031,31,118.300159,1192,157,31,0,0,0,0,0,0,1,False,,0,0,1
-0.19179,2245,121.300128,1193,155,2245,0,0,0,0,0,0,0,False,比赛时间结束(手动模式),0,8,0
-0.011107,754,122.108674,1194,168,754,0,0,0,1,0,0,0,False,,0,2,3
-1.0079,79,122.274566,1195,177,79,0,0,0,0,0,0,1,False,,0,0,1
-0.452779,176,122.527004,1196,164,176,0,0,0,0,1,1,0,False,,0,0,0
-1.0128,128,122.715172,1197,170,128,0,0,0,0,0,0,1,False,,0,0,1
-1.020713,241,123.001281,1198,149,241,0,0,0,0,0,0,1,False,,0,0,1
-1.008911,90,123.161912,1199,170,90,0,0,0,0,0,0,1,False,,0,0,1
-1.0049,49,123.275287,1200,157,49,0,0,0,0,0,0,1,False,,0,0,1
-1.002879,73,123.40726,1201,157,73,0,0,0,0,0,0,1,False,,0,0,1
-1.0046,46,123.524067,1202,172,46,0,0,0,0,0,0,1,False,,0,0,1
-1.020203,184,123.778119,1203,181,184,0,0,0,1,0,0,1,False,,0,0,4
-1.0008,8,123.856679,1204,164,8,0,0,0,0,0,0,1,False,,0,0,1
-1.003172,28,125.047355,1205,181,28,0,0,0,0,0,0,1,False,,0,0,1
-0.979171,312,125.456405,1206,166,312,0,0,0,0,0,0,1,False,,0,1,1
-0.218765,2237,128.669242,1207,163,2237,0,0,0,0,0,0,0,False,比赛时间结束(手动模式),0,7,0
-1.001825,42,128.790987,1208,174,42,0,0,0,0,0,0,1,False,,0,0,1
-1.0032,32,128.888709,1209,165,32,0,0,0,0,0,0,1,False,,0,0,1
0.039287,253,129.197225,1210,168,253,0,0,0,1,0,0,0,False,,0,1,3
-1.007642,108,129.367049,1211,165,108,0,0,0,0,0,0,1,False,,0,0,1
-1.0039,39,129.479079,1212,177,39,0,0,0,0,0,0,1,False,,0,0,1
-1.004559,44,129.59704,1213,175,44,0,0,0,0,0,0,1,False,,0,0,1
-0.181143,2219,132.722216,1214,181,2219,0,0,0,0,0,1,0,False,比赛时间结束(手动模式),0,11,0
-0.982996,129,132.903937,1215,164,129,0,0,0,0,0,0,1,False,,0,0,1
-1.062107,749,134.812953,1216,175,749,0,0,0,0,0,0,1,False,,0,4,0
-1.010997,95,135.031037,1217,166,95,0,0,0,0,0,0,1,False,,0,0,1
-0.996021,125,135.218397,1218,162,125,0,0,0,0,0,0,1,False,,0,0,1
-1.024327,286,135.55003,1219,169,286,0,0,0,0,0,0,1,False,,0,1,1
-1.019692,197,135.814992,1220,164,197,0,0,0,0,0,0,1,False,,0,0,1
-1.117797,1754,138.613431,1221,175,1754,0,0,0,1,0,0,1,False,,0,10,1
-0.216478,2237,141.748529,1222,163,2237,0,0,0,1,0,0,0,False,比赛时间结束(手动模式),0,3,3
-1.00707,82,141.900615,1223,166,82,0,0,0,0,0,0,1,False,,0,0,1
-0.448823,138,142.121835,1224,177,138,0,0,0,0,1,1,0,False,,0,0,0
-0.967803,180,142.376576,1225,177,180,0,0,0,0,0,0,1,False,,0,0,1
