rollout/ep_len_mean,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,train/std,train/learning_rate,train/entropy_loss,train/approx_kl,train/explained_variance,train/loss,train/clip_range,train/policy_gradient_loss,train/value_loss,train/n_updates,train/clip_fraction
712.81,678,219136,323,-0.53176846,107,0.8808786869049072,0.0003,-2.56646276935935,0.0067025125,0.8247280120849609,-0.01021104771643877,0.2,-0.0046713409072253855,0.0008881861354439024,1060,0.053466796875
734.17,679,221184,325,-0.52344338,108,0.8704178333282471,0.0003,-2.560216228663921,0.0075646415,0.7886728048324585,-0.010463358834385872,0.2,-0.0047159961111901795,0.000590181998359185,1070,0.0662109375
736.26,679,223232,328,-0.50303981,109,0.859032154083252,0.0003,-2.5328469567000864,0.004488389,0.8246618509292603,-0.010764716193079948,0.2,-0.0031802186655113473,0.0006987281094097853,1080,0.03798828125
736.26,680,225280,331,-0.50303981,110,0.8439666032791138,0.0003,-2.5015004493296145,0.007846903,0.2825610637664795,-0.003672508057206869,0.2,-0.0017808205098845064,8.343135600057394e-05,1090,0.05048828125
739.47,679,227328,334,-0.47212163,111,0.8315325975418091,0.0003,-2.4680611856281756,0.008473151,0.6618672013282776,-0.008833996020257473,0.2,-0.006856610764225479,3.255000889623716e-05,1100,0.0892578125
738.44,680,229376,337,-0.47780574000000003,112,0.8344438672065735,0.0003,-2.458174443244934,0.004132317,0.2943663001060486,0.001472479896619916,0.2,-0.002027789212297648,0.004172090271640627,1110,0.03837890625
759.86,681,231424,339,-0.47957006999999996,113,0.8287390470504761,0.0003,-2.458918756246567,0.004600618,0.29672908782958984,0.002397318836301565,0.2,-0.005378073822430452,0.006414487455185735,1120,0.068310546875
759.75,682,233472,342,-0.47936006999999997,114,0.8263310194015503,0.0003,-2.4491841666400433,0.003994472,0.7481130957603455,-0.019772853702306747,0.2,-0.0029366848757490516,0.0006028826521117025,1130,0.034326171875
759.75,683,235520,344,-0.47936006999999997,115,0.8147133588790894,0.0003,-2.4302535273134707,0.0058045466,0.7719443440437317,-0.01876438409090042,0.2,-0.004842216651013587,0.0003066944741476618,1140,0.04345703125
759.66,684,237568,346,-0.47959136999999996,116,0.8135063052177429,0.0003,-2.4149205066263675,0.0071338103,0.9212928414344788,0.017991306260228157,0.2,-0.004340284465433797,7.908863311172354e-05,1150,0.06376953125
